Word,Frequency,"Main Type"
of,3043411,preposition
and,2617695,conjunction
to,2594392,particle
in,1936472,preposition
that,1119350,conjunction
it,1054604,pronoun
for,878937,conjunction
on,729789,adjective
you,667511,pronoun
with,658932,preposition
as,653734,adverb
be,650087,verb
he,639432,pronoun
at,521857,preposition
by,512370,preposition
are,464545,verb
have,460823,verb
this,453696,determiner
not,451382,adverb
but,445962,preposition
from,425174,preposition
had,420297,verb
they,419773,pronoun
his,409090,determiner
or,366964,conjunction
which,365397,determiner
she,351550,pronoun
we,349961,pronoun
there,319344,adverb
were,313216,verb
her,302661,determiner
one,294639,numeral
all,277103,adverb
do,270095,verb
their,254357,determiner
if,253251,conjunction
will,251056,verb
would,245395,verb
what,240369,pronoun
so,238873,conjunction
can,232406,verb
when,209609,adverb
more,209431,determiner
up,207424,adverb
who,200675,pronoun
out,196985,adverb
said,195301,verb
about,191808,preposition
them,167098,pronoun
some,167072,pronoun
its,160315,determiner
could,159872,verb
into,157670,preposition
then,154583,adverb
other,153985,adjective
him,153362,pronoun
two,152604,numeral
time,152581,noun
only,148550,adjective
like,147729,verb
my,146601,determiner
than,144629,conjunction
well,142340,adverb
now,139114,adjective
your,134308,determiner
me,131186,pronoun
over,130200,adjective
may,127278,verb
just,126308,adjective
new,124119,adjective
these,123484,determiner
also,123387,adverb
any,121739,adverb
people,121666,noun
first,120632,adjective
very,119431,adjective
know,118670,verb
see,115072,verb
after,113755,adverb
should,109008,verb
such,107062,determiner
where,105586,conjunction
because,100495,adverb
how,99007,adverb
most,98045,determiner
back,96972,adjective
get,95980,verb
way,95760,noun
our,93267,determiner
down,92080,noun
made,91381,noun
right,90529,adjective
between,90517,preposition
much,89838,determiner
work,89331,noun
think,88662,verb
many,88584,determiner
being,87628,verb
even,87498,adjective
those,87047,determiner
go,86754,verb
no,86078,determiner
before,84899,preposition
yeah,83006,particle
through,81113,preposition
good,81014,adjective
three,78310,numeral
make,77279,verb
us,76275,pronoun
last,74675,adjective
year,73050,noun
still,71868,adjective
must,69991,verb
take,69564,verb
own,68878,verb
off,67857,adverb
here,67855,adverb
both,67348,determiner
say,67111,verb
too,66905,adverb
oh,66734,interjection
come,66605,verb
used,65886,verb
going,63465,verb
little,62511,adjective
use,62162,noun
government,61797,noun
same,61105,adjective
under,60607,preposition
each,60343,determiner
day,60054,noun
however,59685,adverb
might,59383,noun
another,59098,determiner
man,58764,noun
yes,58512,particle
put,57541,verb
world,57484,noun
again,57262,adverb
long,55695,adjective
need,55290,noun
against,55148,preposition
want,55146,verb
life,54927,noun
while,54730,noun
thought,53578,noun
part,53423,noun
never,53178,adverb
old,52677,adjective
look,51982,verb
home,50472,noun
something,50050,pronoun
house,49174,noun
since,48949,adverb
course,48935,noun
number,48821,noun
why,48577,adverb
end,48373,noun
away,47849,adverb
